Sample Identifier,Selected,Classroom
NGA/BCVL-24208/2021,no,
KEN/SS3030/2021,no,
USA/OK-CDC-LC0035393/2021,no,
NZL/21MV0298/2021,no,
NZL/21MV0154/2021,no,
USA/PA-CDC-QDX23396102/2021,no,
TGO/nmimr-TG-SARS-CoV-2-TGS-053-21/2021,no,
USA/CA-CDC-LC0052744/2021,no,
NZL/21MV0389/2021,no,
OU145328,no,
IND/GBRC595/2021,no,
NZL/21CH0033/2021,no,
USA/MA-CDCBI-CRSP_MXTSHIXLDA2U2C4X/2021,no,
NZL/21MV0403/2021,no,
Lebanon/QIB-357/2021,no,
Lebanon/QIB-32/2021,no,
Lebanon/QIB-733/2021,no,
BHR/115_S115_L001/2021,no,
BEN/6/2021,no,
USA/MN-MDH-22335/2022,no,
BRA/ILMD2201145/2022,no,
KAZ/43_10/2021,no,
PAK/271503/2021,no,
NZL/22CV0411/2022,no,
SouthAfrica/NHLS-UCT-GP-N023/2021,no,
BRA/ILMD2203391/2022,no,
England/MILK-2F87BA1/2021,no,
OX448975,no,
NZL/21MV3577/2021,no,
NZL/21CH1020/2021,no,
BRA/ILMD2202185/2022,no,
BRA/LACENAL-270216436/2022,no,
FRA/IHUCOVID-066073_Nova1/2022,no,
BRA/LACENAL-270213954/2022,no,
KEN/SS9163/2021,no,
KEN/SS6800/2022,no,
KEN/SS6110/2022,no,
DJI/NAMRU3_C583/2022,no,
DJI/NAMRU3_B865/2022,no,
BRA/LACENAL-270218801/2022,no,
NZL/22CH0412/2022,no,
USA/VA-DCLS-13739/2022,no,
England/NEWC-33B65D1/2022,no,
Japan/SZ-NIG-4-C3651/2022,no,
USA/WI-CDC-LC0520607/2022,no,
BRA/LACENAL-270217126/2022,no,
USA/UT-CDC-LC0512878/2022,no,
BRA/LACENAL-270224685/2022,no,
ZAF/NHLS-UCT-GS-CC98/2022,no,
OX358424,no,
USA/MN-MDH-31946/2022,no,
Scotland/LSPA-3E8263A/2022,no,
ZAF/NHLS-UCT-GS-CE45/2022,no,
ZAF/NHLS-UCT-GS-CE92/2023,no,
ZAF/NHLS-UCT-LA-ZC31/2022,no,
ZAF/NHLS-UCT-GS-H981/2021,no,
England/QEUH-325A0B6D/2022,no,
BRA/LACENAL-270228646/2022,no,
England/QEUH-3F09694/2022,no,
USA/OSPHL06491/2022,no,
Japan/SZ-NIG-Y223086/2023,no,
England/LSPA-3F58D55/2022,no,
PER/00051aagqs/2022,no,
PER/14090aavrl/2022,no,
PER/00292AAAAF/2022,no,
PER/00008AACSE/2022,no,
PER/00291AAAOF/2022,no,
SYC/SS10801/2022,no,
OP872673,no,
BHR/22970266588/2022,no,
Japan/SZ-NIG-Y221593/2022,no,
Switzerland/BE-IFIK-230424_os_03/2023,no,
England/LSPA-3E963C3/2022,no,
Japan/SZ-NIG-Y221930/2022,no,
England/LSPA-3259CC07/2022,no,
Japan/SZ-NIG-Y222008/2022,no,
USA/NJ-CDC-LC0845118/2022,no,
USA/CA-CDC-STM-FBMD3RAJ3/2022,no,
ZAF/NHLS-UCT-GS-CF48/2023,no,
DJI/DJI_NAMRU3_H662/2022,no,
USA/VA-CDC-QDX40816629/2022,no,
KEN/SS9815/2022,no,
Japan/SZ-NIG-Y220957/2022,no,
JPN/HiroFS045/2022,no,
HOMOSPIENS/BHR/22920344230/2022,no,
VNM/OUCRU-NHTD3406/2022,no,
NZL/22CH4876/2022,no,
AUS/QIMR03/2022,no,
Switzerland/VD-CHUV-GEN12998/2022,no,
USA/PA-CDC-STM-BMJWRCNHQ/2022,no,
DJI/DJI_NAMRU3_H445/2022,no,
DJI/DJI_NAMRU3_H396/2022,no,
USA/NJ-CDC-QDX42555619/2022,no,
England/LSPA-32601352/2022,no,
England/LSPA-325867B4/2022,no,
USA/VA-CAV_VAS3N_00017261_01/2022,no,
England/BRBR-32647860/2022,no,
AUS/VIC-VIDRL-00002490/2022,no,
USA/IL-CDC-QDX45740699/2023,no,
KEN/SS11044/2022,no,
England/LSPA-325FAC61/2022,no,
KEN/SS11105/2022,no,
USA/CA-CDC-STM-RZHWCPYH7/2022,no,
BHR/910505560_S20_L001/2023,no,
KEN/SS11267/2022,no,
KEN/SS11733/2023,no,
SouthAfrica/NHLS-UCT-LA-Z780/2021,no,
OW899293,no,
OW788871,no,
USA/MO-CDC-QDX34341815/2022,no,
SouthAfrica/NHLS-UCT-GS-AX11/2022,no,
SouthAfrica/NHLS-UCT-GS-BD47/2022,no,
OX498922,no,
BRA/LACENAL-270224693/2022,no,
MYS/H33_23762/2022,no,
HongKong/HKU-220213-046/2022,no,
MYS/H48_24721/2022,no,
Scotland/QEUH-35C27CB/2022,no,
DJI/NAMRU3_C585/2022,no,
THA/CONI-2988/2022,no,
BHR/22020367383/2022,no,
